source:test_barley/clusters_cds_t3	Alexis.trinity.fna.bz2_l50_E1e-05.diamond.cds.fna.gz.nucl	AmagiNijo.trinity.fna.bz2_l50_E1e-05.diamond.cds.fna.gz.nucl	Beiqing5.trinity.fna.bz2_l50_E1e-05.diamond.cds.fna.gz.nucl	Esterel.trinity.fna.bz2_l50_E1e-05.diamond.cds.fna.gz.nucl	Franka.trinity.fna.bz2_l50_E1e-05.diamond.cds.fna.gz.nucl	Himala2.trinity.fna.bz2_l50_E1e-05.diamond.cds.fna.gz.nucl	Hs_ECI-2-0.trinity.fna.bz2_l50_E1e-05.diamond.cds.fna.gz.nucl	Hs_Turkey-19-24.trinity.fna.bz2_l50_E1e-05.diamond.cds.fna.gz.nucl	Hs_XZ2.trinity.fna.bz2_l50_E1e-05.diamond.cds.fna.gz.nucl	Morex_MIPS_cDNAs.fna.bz2_l50_E1e-05.diamond.cds.fna.gz.nucl	Padanggamu.trinity.fna.bz2_l50_E1e-05.diamond.cds.fna.gz.nucl	SBCC073_fLF.Trinity.fna.gz_l50_E1e-05.diamond.cds.fna.gz.nucl	Scarlett_fLF.Trinity.fna.gz_l50_E1e-05.diamond.cds.fna.gz.nucl	TX9425.trinity.fna.bz2_l50_E1e-05.diamond.cds.fna.gz.nucl	Yiwuerleng.trinity.fna.bz2_l50_E1e-05.diamond.cds.fna.gz.nucl	
3738_TR24017-c0_g1_i1.fna	1	2	1	2	1	2	3	3	1	2	1	2	1	1	3	
3739_TR24639-c0_g1_i1.fna	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	
3740_TR27851-c0_g2_i1.fna	2	1	1	1	1	1	2	1	2	1	1	2	2	3	2	
3741_TR29365-c0_g2_i1.fna	2	1	1	1	1	1	2	1	2	3	1	2	2	1	1	
3744_TR30974-c0_g1_i1.fna	1	4	3	2	1	1	1	1	3	2	2	2	1	3	2	
3747_TR5648-c0_g2_i1.fna	2	1	1	1	1	1	1	2	1	1	1	2	2	2	2	
3750_TR22313-c0_g2_i4.fna	4	2	3	5	5	5	2	2	9	2	2	4	4	4	5	
3752_TR25472-c0_g1_i1.fna	1	1	1	1	1	1	1	1	1	5	1	1	2	1	1	
3753_TR28432-c0_g1_i1.fna	1	2	3	3	2	1	1	2	2	3	1	2	2	2	3	
3754_TR281-c0_g1_i1.fna	1	2	1	2	1	1	3	1	1	3	1	2	1	2	2	
3756_TR4178-c0_g2_i1.fna	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	
3759_TR17527-c0_g1_i1.fna	2	2	1	1	1	1	1	3	2	3	1	1	1	1	1	
3760_TR18004-c0_g1_i1.fna	2	2	2	1	2	2	2	2	2	1	3	2	1	1	1	
3761_TR19612-c0_g1_i1.fna	1	2	0	0	0	0	0	0	3	1	0	0	1	0	0	
3764_TR7774-c0_g1_i2.fna	3	1	1	2	3	1	2	1	1	1	1	4	2	1	1	
3765_TR8697-c0_g1_i1.fna	1	1	1	2	2	1	1	2	2	2	3	3	2	2	2	
3766_TR9801-c0_g1_i1.fna	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	
3767_TR11488-c0_g1_i1.fna	1	1	2	1	1	2	1	1	1	3	2	2	2	1	2	
3768_TR14099-c0_g1_i1.fna	1	2	1	1	1	1	1	1	1	4	1	1	1	1	1	
3769_TR21722-c0_g2_i1.fna	1	2	2	1	1	1	1	1	1	3	1	1	1	1	1	
3770_TR22745-c0_g2_i1.fna	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	
3771_TR27306-c0_g1_i1.fna	1	2	2	1	1	1	1	1	1	2	2	1	1	1	1	
3772_TR29047-c0_g1_i1.fna	1	0	0	1	1	0	0	0	0	2	0	1	1	0	0	
3773_TR32621-c0_g1_i1.fna	1	1	1	1	1	1	2	1	1	1	1	2	2	1	2	
3778_TR10137-c0_g1_i1.fna	1	1	1	1	2	1	1	1	1	4	2	1	1	1	1	
3779_TR12560-c0_g1_i1.fna	1	1	2	1	1	1	1	2	3	4	2	1	1	1	1	
3784_TR27994-c0_g1_i1.fna	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	
3785_TR28449-c0_g1_i1.fna	1	2	3	1	2	4	2	1	1	1	3	1	1	3	3	
3786_TR28705-c0_g2_i1.fna	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	
3787_TR30782-c0_g1_i1.fna	4	3	0	0	0	0	2	0	0	2	0	0	0	0	0	
3788_TR34993-c0_g1_i1.fna	2	1	1	1	2	1	2	3	2	3	1	1	1	1	1	
3789_TR1663-c1_g2_i2.fna	2	2	2	1	2	2	2	2	2	1	1	1	1	2	1	
3790_TR2484-c0_g2_i1.fna	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	
3792_TR4299-c0_g1_i1.fna	1	1	2	1	1	2	1	1	1	2	1	1	1	2	2	
3793_TR4384-c1_g1_i3.fna	3	1	1	1	2	1	3	2	2	4	2	4	3	2	2	
3794_TR10899-c0_g1_i1.fna	1	1	1	1	2	1	1	2	2	3	1	2	1	1	1	
3795_TR11889-c0_g1_i1.fna	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	
3796_TR18842-c0_g1_i1.fna	1	2	1	1	1	1	1	1	2	3	1	1	2	2	1	
3798_TR21672-c1_g1_i3.fna	6	0	2	3	4	6	4	5	5	2	6	2	3	4	1	
3801_TR22395-c0_g1_i3.fna	7	2	0	2	5	5	4	4	4	4	2	6	10	4	4	
3802_TR32217-c1_g1_i2.fna	2	3	2	2	1	2	2	3	2	2	2	4	2	1	2	
3803_TR33109-c0_g1_i1.fna	2	2	2	1	1	2	3	2	1	3	1	1	3	3	2	
3805_TR7851-c0_g1_i1.fna	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	
3806_TR13426-c0_g2_i1.fna	2	2	1	1	1	1	1	2	2	3	1	1	1	1	1	
3807_TR15164-c0_g1_i1.fna	1	2	1	1	1	1	2	1	1	4	1	3	1	1	1	
3811_TR20815-c0_g1_i1.fna	1	1	1	1	3	2	1	1	1	2	2	3	4	2	1	
3812_TR22365-c0_g1_i2.fna	2	2	3	2	4	1	3	5	2	4	2	6	3	3	4	
3814_TR26793-c0_g1_i1.fna	1	1	2	1	1	2	1	1	1	2	1	1	1	1	1	
3815_TR29355-c0_g1_i1.fna	2	2	2	2	0	1	2	4	2	2	2	3	2	3	2	
3818_TR33888-c0_g1_i3.fna	3	3	3	3	3	3	3	2	2	3	3	2	3	4	3	
3819_TR112-c0_g1_i1.fna	1	1	1	1	1	1	1	1	2	1	2	2	2	1	1	
3820_TR6551-c0_g1_i1.fna	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	
3822_TR17330-c0_g1_i1.fna	2	1	1	1	1	2	1	2	1	2	1	2	1	2	4	
3823_TR26387-c0_g2_i1.fna	1	1	2	1	1	1	2	1	1	3	1	2	2	1	1	
3825_TR31171-c0_g2_i1.fna	2	1	2	1	2	3	2	2	2	3	2	2	1	2	1	
3826_TR31646-c0_g2_i1.fna	1	1	1	3	1	1	2	1	1	1	2	1	1	1	1	
3827_TR33774-c0_g1_i1.fna	3	3	2	1	2	1	2	3	1	2	2	1	3	4	2	
3828_TR33929-c0_g1_i1.fna	2	2	3	3	2	5	2	2	1	3	2	2	1	3	1	
3829_TR35562-c1_g1_i2.fna	2	2	4	2	2	2	3	2	5	4	3	6	5	2	2	
3832_TR2041-c0_g1_i1.fna	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	
3834_TR4585-c0_g1_i1.fna	1	2	2	2	1	1	2	1	3	1	2	2	1	3	1	
3836_TR9594-c0_g2_i1.fna	2	1	2	2	1	1	1	1	1	1	1	1	1	2	1	
3837_TR16596-c1_g1_i1.fna	2	1	0	1	2	1	1	0	3	8	2	2	1	2	3	
3838_TR18644-c0_g2_i1.fna	2	1	1	1	1	1	2	2	1	3	1	2	2	1	2	
3843_TR25163-c0_g1_i1.fna	2	1	1	2	1	2	1	1	1	3	2	1	1	1	2	
3844_TR25626-c0_g1_i1.fna	2	2	1	1	1	2	3	2	1	3	1	2	2	2	1	
3846_TR28154-c0_g1_i1.fna	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
3847_TR31005-c0_g1_i1.fna	2	1	2	1	2	1	2	1	1	3	1	1	2	1	1	
3848_TR31335-c0_g1_i1.fna	1	1	1	1	1	2	1	1	1	5	2	2	2	2	1	
3850_TR33263-c0_g1_i1.fna	1	2	1	2	2	2	1	2	1	3	1	4	4	2	1	
3851_TR898-c0_g1_i2.fna	2	1	3	2	2	1	2	2	1	3	1	1	1	3	1	
3852_TR2221-c0_g1_i1.fna	1	3	1	1	2	2	2	1	1	1	1	1	3	1	1	
3853_TR3608-c0_g1_i1.fna	2	1	1	2	1	1	1	1	2	1	1	1	1	1	1	
3854_TR8212-c0_g1_i1.fna	1	1	1	1	1	2	1	1	1	1	2	2	1	1	3	
3855_TR9514-c0_g1_i1.fna	2	1	2	1	1	1	2	1	3	1	3	2	1	2	1	
3856_TR9873-c0_g1_i1.fna	1	1	2	1	2	2	2	3	1	5	3	2	4	1	1	
3859_TR16728-c0_g1_i1.fna	1	1	1	1	2	1	2	1	1	1	1	2	2	1	1	
3861_TR21062-c0_g1_i1.fna	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	
3862_TR21482-c0_g3_i1.fna	1	1	1	1	3	1	1	1	1	1	1	1	1	2	3	
3863_TR25270-c0_g3_i1.fna	1	1	2	2	1	2	1	1	1	1	3	1	1	2	2	
3864_TR25569-c0_g1_i1.fna	1	3	1	1	2	1	1	1	2	7	3	1	2	4	2	
3865_TR25745-c0_g1_i4.fna	2	1	2	4	3	5	5	7	3	4	3	4	10	2	4	
3866_TR27874-c0_g1_i1.fna	1	1	1	1	1	1	1	1	1	10	2	2	2	1	3	
3867_TR31272-c4_g1_i2.fna	2	2	4	1	1	2	1	1	1	4	4	9	10	6	2	
3869_TR31741-c0_g1_i1.fna	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	
3873_TR3903-c0_g1_i1.fna	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	
3874_TR4950-c0_g1_i1.fna	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	
3875_TR11743-c0_g1_i1.fna	1	1	2	1	2	1	2	2	2	1	1	1	1	1	1	
3876_TR12056-c0_g1_i1.fna	1	1	1	1	1	1	1	2	1	2	1	1	2	1	1	
3877_TR15455-c0_g1_i1.fna	2	2	1	1	2	1	1	2	1	2	1	3	2	1	2	
3878_TR16370-c0_g2_i1.fna	2	3	2	1	2	2	1	1	1	1	1	4	3	2	3	
3879_TR17096-c0_g2_i3.fna	4	2	1	5	2	4	3	2	1	3	1	2	4	3	2	
3880_TR17263-c0_g1_i1.fna	1	1	1	2	1	1	1	1	1	4	2	1	1	1	2	
3881_TR22241-c0_g2_i1.fna	2	1	1	2	1	2	1	1	1	3	1	3	1	5	2	
3882_TR22769-c0_g1_i1.fna	1	1	3	2	2	2	1	2	1	1	2	1	1	2	2	
3883_TR23227-c1_g2_i1.fna	2	1	1	3	2	3	4	1	2	0	1	1	2	2	1	
3884_TR24038-c0_g1_i1.fna	1	1	1	1	1	1	1	2	1	4	1	1	2	1	3	
3885_TR26470-c0_g1_i1.fna	1	2	1	3	1	2	1	1	1	1	2	0	0	3	2	
3886_TR27529-c0_g2_i1.fna	2	2	2	2	1	1	2	1	2	2	1	1	1	1	2	
3888_TR36303-c0_g1_i1.fna	4	1	5	2	3	3	2	5	1	3	1	2	1	4	2	
3890_TR686-c0_g1_i1.fna	2	4	2	2	3	2	1	1	1	1	2	2	3	3	2	
3891_TR767-c0_g1_i1.fna	1	3	2	3	2	2	2	2	4	1	1	2	1	2	0	
3892_TR8878-c0_g1_i1.fna	1	1	2	1	2	1	1	1	1	1	1	2	2	1	1	
3893_TR19513-c0_g1_i2.fna	2	1	1	2	1	2	3	5	2	4	2	2	1	4	1	
3895_TR21137-c0_g1_i1.fna	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	
3897_TR649-c0_g1_i1.fna	1	3	2	2	3	3	1	1	3	1	3	3	3	4	1	
3898_TR4869-c0_g1_i1.fna	1	1	1	2	1	1	4	3	1	1	3	3	2	1	2	
3899_TR7872-c0_g1_i6.fna	6	0	0	2	2	0	6	7	1	0	0	9	9	1	5	
3900_TR8861-c0_g2_i1.fna	2	2	2	2	2	2	2	1	2	2	2	5	4	2	2	
3902_TR9097-c0_g1_i1.fna	1	1	1	1	1	1	1	1	1	3	1	2	1	2	1	
3903_TR9109-c0_g1_i1.fna	1	1	1	2	1	1	1	3	1	2	1	2	2	2	2	
3905_TR19365-c0_g1_i1.fna	1	1	1	1	1	1	1	1	1	1	2	2	2	1	1	
3907_TR23897-c0_g1_i1.fna	2	1	3	3	2	3	3	2	3	2	2	2	5	3	3	
3908_TR24442-c1_g3_i1.fna	4	4	3	1	2	2	2	6	2	3	1	1	5	4	2	
3909_TR27731-c0_g1_i1.fna	2	2	1	2	1	2	1	2	1	1	1	2	2	2	2	
3910_TR2199-c0_g2_i1.fna	2	3	1	2	1	2	2	2	2	2	1	1	2	2	1	
3911_TR6291-c0_g1_i1.fna	2	3	1	2	2	2	3	3	2	5	2	3	4	3	2	
3912_TR7739-c0_g2_i2.fna	1	1	2	1	1	1	2	3	2	2	1	2	4	1	1	
3913_TR11126-c0_g1_i1.fna	1	1	2	2	2	1	1	2	1	5	2	1	2	2	2	
3914_TR16786-c0_g2_i1.fna	2	1	1	1	1	1	2	1	1	1	1	1	1	3	1	
3915_TR17612-c0_g1_i1.fna	2	1	1	1	1	2	1	1	1	1	1	3	2	1	1	
3917_TR18620-c3_g1_i4.fna	2	3	3	3	1	1	2	3	1	2	2	1	3	3	1	
3918_TR21696-c0_g1_i1.fna	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
3920_TR25121-c0_g1_i1.fna	1	2	1	1	2	2	1	1	1	1	1	1	1	1	1	
3921_TR25762-c0_g1_i1.fna	1	1	1	3	3	2	1	2	1	1	3	4	3	2	2	
3922_TR26561-c0_g1_i1.fna	1	1	0	1	1	2	1	1	1	1	1	2	1	1	3	
3924_TR32760-c0_g1_i1.fna	1	1	1	1	2	1	2	1	1	2	2	2	1	1	1	
3926_TR34697-c0_g1_i1.fna	1	2	1	1	1	1	2	3	2	2	2	2	1	1	1	
3927_TR2729-c0_g1_i1.fna	1	2	1	1	1	1	1	2	1	1	3	2	1	3	2	
3928_TR11020-c0_g1_i1.fna	2	1	1	1	1	1	1	1	1	1	1	2	2	1	2	
3929_TR14692-c0_g1_i1.fna	1	1	1	1	1	1	1	2	1	2	2	2	3	1	1	
3931_TR16610-c0_g1_i1.fna	1	1	2	1	2	1	1	1	1	2	1	2	1	1	1	
3932_TR17512-c0_g1_i1.fna	1	1	2	2	1	1	2	1	4	2	1	2	2	1	1	
3933_TR20403-c0_g1_i1.fna	1	1	2	5	4	2	2	3	2	4	1	2	2	4	3	
3935_TR25812-c0_g1_i1.fna	2	4	3	2	2	3	6	3	2	5	3	5	16	3	4	
3937_TR25867-c0_g1_i1.fna	1	2	3	2	2	2	1	1	2	1	2	2	1	1	1	
3939_TR34187-c0_g1_i1.fna	1	2	3	2	1	3	2	3	5	7	3	4	6	2	3	
3940_TR35679-c0_g1_i3.fna	1	2	2	2	4	2	1	1	3	1	3	1	1	3	6	
3943_TR7436-c0_g1_i1.fna	1	1	2	2	1	1	1	2	1	1	1	2	2	1	2	
3945_TR10890-c0_g1_i1.fna	2	1	1	1	2	2	1	3	1	2	2	3	3	2	2	
3946_TR12142-c0_g1_i1.fna	1	1	1	0	2	1	0	1	0	2	2	2	2	1	1	
3948_TR15374-c0_g1_i2.fna	1	2	1	2	2	2	1	5	1	5	1	2	2	3	2	
3949_TR15525-c0_g1_i1.fna	2	1	1	1	1	1	2	1	1	3	1	1	1	1	2	
3950_TR16100-c0_g2_i1.fna	1	1	1	1	1	1	1	1	3	5	1	2	3	2	1	
3953_TR22991-c1_g2_i2.fna	2	3	1	1	1	1	2	2	3	4	3	1	1	1	2	
3955_TR27107-c0_g1_i1.fna	2	4	4	3	3	4	2	2	3	6	5	4	2	2	4	
3956_TR33655-c0_g1_i1.fna	1	1	2	1	1	1	1	3	2	3	1	3	2	1	2	
3957_TR36117-c0_g1_i1.fna	1	2	1	2	2	3	2	4	2	5	2	1	1	1	2	
3958_TR36381-c0_g1_i3.fna	3	2	3	2	2	3	2	4	2	1	3	3	3	2	3	
3959_TR898-c0_g1_i3.fna	1	1	0	1	1	1	2	2	2	1	1	1	1	1	1	
3960_TR8112-c1_g2_i1.fna	1	2	1	1	1	1	2	1	2	1	1	1	1	1	1	
3961_TR12879-c0_g1_i1.fna	1	2	1	2	1	1	2	1	1	5	1	1	2	2	2	
3962_TR13109-c1_g1_i1.fna	1	2	1	2	1	2	1	1	2	2	2	1	2	2	1	
3963_TR14113-c0_g1_i1.fna	1	1	1	1	1	1	1	1	1	3	2	1	3	1	1	
3964_TR15875-c0_g1_i1.fna	1	3	2	0	1	1	0	4	1	0	1	3	1	2	2	
3966_TR21556-c0_g2_i1.fna	2	1	1	1	2	2	1	2	1	2	1	5	4	1	1	
3967_TR24217-c0_g1_i1.fna	1	1	0	2	1	1	1	2	2	7	2	3	0	1	1	
3968_TR26530-c0_g1_i1.fna	1	1	2	2	1	2	1	2	1	1	2	2	2	1	1	
3969_TR28922-c0_g1_i1.fna	2	1	1	1	1	2	1	1	1	1	1	1	1	1	3	
3970_TR34404-c0_g1_i1.fna	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	
3972_TR1587-c0_g1_i1.fna	1	3	2	2	5	2	2	3	3	2	3	2	3	3	2	
3976_TR25678-c0_g2_i1.fna	1	1	2	1	2	1	2	1	4	1	1	2	2	2	2	
3979_TR30969-c0_g1_i7.fna	2	2	2	1	1	2	1	2	3	4	1	2	3	2	1	
3983_TR32783-c0_g2_i4.fna	5	7	5	9	5	5	7	3	5	13	4	5	10	4	4	
3984_TR35331-c1_g1_i1.fna	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	
3985_TR2843-c0_g1_i1.fna	1	2	1	1	1	2	1	1	1	3	1	1	1	2	1	
3986_TR3628-c0_g2_i2.fna	2	1	1	2	1	1	1	1	2	1	1	2	2	1	1	
3987_TR5001-c0_g1_i1.fna	3	3	2	3	2	3	1	1	4	2	6	2	2	3	3	
3988_TR7922-c0_g1_i1.fna	1	1	1	1	1	2	1	1	1	2	3	2	2	2	2	
3989_TR9276-c0_g1_i1.fna	1	2	2	1	1	3	1	1	1	1	1	1	1	2	1	
3991_TR22866-c0_g2_i1.fna	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	
3992_TR22910-c0_g1_i1.fna	1	1	1	1	2	1	1	1	2	2	1	1	1	1	1	
3993_TR27912-c0_g1_i2.fna	3	3	4	2	2	3	3	4	2	2	3	2	2	4	4	
3995_TR2382-c0_g3_i1.fna	1	1	1	1	1	2	3	1	1	1	1	2	1	1	1	
3999_TR8687-c0_g1_i1.fna	1	1	1	2	2	1	2	2	1	2	1	1	1	1	1	
4000_TR14062-c0_g1_i1.fna	1	1	1	1	2	1	2	3	1	1	2	2	2	2	1	
4001_TR19557-c0_g2_i1.fna	2	2	2	3	2	1	2	2	2	4	3	1	3	2	2	
4003_TR24523-c0_g1_i1.fna	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	
4004_TR24675-c1_g1_i1.fna	1	2	1	2	1	1	2	2	1	2	1	3	1	1	1	
4008_TR29118-c0_g1_i1.fna	1	2	1	2	2	1	1	4	1	2	1	1	1	1	1	
4009_TR4304-c0_g1_i3.fna	2	2	2	2	3	2	2	2	2	5	1	4	4	2	2	
4011_TR4410-c0_g1_i1.fna	1	3	2	1	1	1	1	2	1	2	1	1	2	1	1	
4013_TR12984-c0_g2_i1.fna	3	2	2	3	1	1	3	4	2	3	2	4	3	1	1	
4014_TR14884-c0_g2_i1.fna	2	2	1	2	2	1	1	2	1	3	2	2	2	1	1	
4015_TR17652-c0_g2_i1.fna	2	1	1	1	1	1	3	1	1	1	2	1	2	1	1	
4018_TR20276-c0_g1_i1.fna	1	1	1	1	1	1	3	1	3	3	1	2	3	1	1	
4019_TR22546-c0_g1_i2.fna	2	4	6	2	2	3	3	2	5	5	3	3	5	2	2	
4021_TR32434-c0_g1_i1.fna	1	1	1	1	1	2	2	2	1	1	2	2	2	2	2	
4022_TR32948-c0_g2_i1.fna	2	1	1	1	1	2	2	3	1	1	2	2	1	2	3	
4024_TR36416-c0_g1_i1.fna	1	2	1	1	1	2	2	2	1	5	1	2	2	1	1	
4025_TR1521-c2_g1_i1.fna	1	1	3	4	4	1	3	1	1	1	4	5	2	2	2	
4026_TR3250-c0_g1_i1.fna	1	1	1	1	1	1	1	2	1	3	1	1	1	1	3	
4030_TR20292-c0_g2_i2.fna	2	1	1	1	1	1	1	1	1	2	1	1	2	1	1	
4031_TR20879-c0_g1_i1.fna	1	1	1	1	1	1	1	2	1	2	2	2	1	1	1	
4032_TR24170-c0_g1_i1.fna	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	
4033_TR24383-c3_g1_i2.fna	1	2	1	1	2	1	1	3	1	1	1	2	1	1	1	
4034_TR30168-c0_g1_i1.fna	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
4035_TR30456-c0_g1_i1.fna	1	1	0	1	1	0	1	1	0	3	0	2	1	2	2	
4036_TR31444-c0_g1_i1.fna	1	2	2	1	1	1	2	2	1	4	2	3	3	2	2	
4037_TR5830-c0_g1_i1.fna	1	1	1	1	1	2	1	1	2	2	1	2	1	3	3	
4038_TR11753-c0_g2_i1.fna	1	1	1	1	1	1	1	2	1	3	1	1	1	3	1	
4039_TR13159-c3_g1_i1.fna	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	
4040_TR15273-c0_g2_i1.fna	2	1	1	1	2	1	1	2	2	1	1	1	1	1	1	
4042_TR21839-c0_g1_i1.fna	1	1	1	2	2	2	1	2	2	3	1	4	5	1	2	
4043_TR21863-c0_g1_i1.fna	1	1	1	1	1	2	1	1	2	3	2	1	2	2	4	
4044_TR22556-c0_g1_i3.fna	2	0	2	5	6	4	6	3	6	11	5	12	12	6	8	
4046_TR32587-c1_g1_i1.fna	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	
4047_TR35515-c0_g1_i2.fna	2	1	2	1	3	1	3	3	1	3	2	3	3	1	2	
4052_TR4611-c0_g2_i1.fna	1	1	2	1	1	1	1	1	1	3	1	1	1	2	1	
4053_TR5385-c0_g1_i1.fna	1	1	1	1	1	1	2	1	1	2	1	2	2	1	2	
4054_TR8066-c0_g1_i2.fna	2	2	2	3	3	2	2	2	2	2	2	2	2	2	2	
4056_TR14144-c0_g2_i1.fna	1	2	1	1	2	1	1	2	2	2	2	2	1	1	1	
4058_TR18202-c0_g2_i1.fna	1	2	1	1	1	1	1	1	1	3	1	1	2	1	1	
4059_TR19107-c0_g1_i1.fna	2	1	1	1	1	2	2	2	1	4	2	3	5	1	2	
4060_TR21887-c0_g2_i1.fna	1	1	1	1	2	2	1	1	2	2	1	1	2	2	1	
4063_TR29500-c0_g1_i1.fna	2	1	1	1	1	2	2	1	1	2	1	1	3	1	2	
4064_TR33315-c0_g2_i1.fna	1	1	1	1	1	1	1	1	1	3	1	1	1	1	2	
4065_TR35116-c0_g1_i1.fna	1	1	1	2	1	1	2	1	2	2	1	1	2	1	1	
4067_TR1916-c0_g1_i1.fna	1	1	1	1	1	1	1	2	1	3	2	1	1	1	1	
4068_TR3178-c0_g2_i1.fna	2	2	2	1	1	1	2	1	1	2	1	1	1	1	1	
4069_TR6390-c0_g1_i1.fna	1	2	2	2	1	2	1	2	0	5	2	1	2	3	3	
4071_TR12860-c0_g1_i1.fna	1	2	1	1	1	1	2	2	1	3	1	3	1	1	1	
4072_TR13555-c0_g1_i1.fna	1	1	1	1	1	2	1	2	1	1	1	2	2	2	2	
4073_TR15359-c0_g2_i1.fna	4	2	1	1	1	2	2	2	2	5	1	1	1	2	1	
4074_TR15579-c0_g1_i1.fna	1	1	3	1	1	1	3	2	2	1	2	1	1	1	1	
4075_TR16731-c0_g1_i1.fna	2	1	2	1	1	1	1	1	1	2	1	1	1	1	1	
4078_TR20495-c0_g2_i1.fna	2	1	2	1	2	1	1	1	1	1	1	1	1	1	1	
4079_TR20718-c0_g2_i2.fna	3	1	3	3	4	1	1	2	2	2	2	5	3	3	1	
4083_TR31679-c0_g1_i1.fna	1	1	1	1	1	1	1	1	1	3	2	1	3	1	2	
4085_TR33373-c0_g1_i1.fna	1	2	1	4	2	3	4	1	1	2	3	2	2	1	3	
4086_TR1876-c0_g2_i1.fna	2	2	1	2	1	1	1	2	1	4	1	2	2	2	1	
4088_TR10540-c0_g1_i1.fna	1	2	0	1	1	1	1	0	0	4	1	1	1	1	2	
4089_TR12419-c0_g2_i1.fna	1	1	1	1	2	1	2	1	1	3	1	3	4	2	1	
4090_TR13183-c0_g1_i1.fna	2	2	2	1	1	2	1	2	2	1	2	2	1	2	2	
4092_TR17838-c0_g1_i1.fna	1	1	2	2	2	1	2	2	1	2	3	3	1	2	2	
4095_TR25111-c0_g3_i1.fna	2	1	1	2	2	1	1	2	1	3	1	2	2	1	1	
4097_TR29074-c0_g1_i1.fna	2	1	1	1	1	1	2	1	1	1	1	1	2	1	3	
4099_TR35654-c0_g1_i1.fna	1	1	1	1	1	2	2	1	1	3	1	1	2	1	1	
4101_TR4240-c0_g1_i1.fna	1	1	1	2	1	3	1	2	3	2	3	3	2	2	3	
4102_TR6738-c0_g1_i3.fna	6	2	1	4	3	1	5	2	3	7	5	11	8	3	5	
4103_TR13159-c1_g2_i1.fna	4	2	2	1	2	1	2	2	2	2	1	3	3	1	2	
4110_TR19649-c0_g1_i1.fna	1	1	1	1	1	3	2	2	1	1	2	1	1	2	3	
4112_TR20447-c0_g2_i2.fna	1	2	1	1	2	1	1	1	1	1	1	3	4	1	2	
4114_TR29957-c0_g2_i1.fna	2	2	2	1	1	2	1	2	2	3	1	2	1	2	1	
4116_TR31103-c0_g2_i1.fna	1	1	2	1	1	1	1	1	1	3	2	3	4	1	1	
4118_TR35194-c0_g1_i1.fna	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	
4120_TR853-c0_g3_i1.fna	1	1	3	2	3	3	2	1	2	2	1	2	1	2	2	
4121_TR1078-c0_g1_i1.fna	1	1	1	2	2	1	2	1	1	1	1	1	1	1	1	
4123_TR3630-c0_g2_i1.fna	1	2	1	1	1	4	2	1	1	1	2	1	1	2	2	
4124_TR4509-c0_g1_i1.fna	1	1	2	1	2	1	1	1	1	1	1	2	1	2	2	
4125_TR4910-c0_g1_i1.fna	3	4	3	5	3	3	3	4	2	2	3	3	5	3	3	
4128_TR8544-c0_g1_i1.fna	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	
4130_TR8889-c0_g1_i1.fna	1	2	1	1	1	1	1	1	1	1	2	2	1	1	2	
4131_TR9249-c0_g1_i1.fna	2	1	1	1	1	1	1	1	1	1	1	1	3	1	1	
4132_TR12542-c0_g1_i1.fna	2	1	1	1	1	1	1	2	1	3	1	1	3	2	1	
4133_TR17883-c0_g1_i2.fna	2	2	1	1	1	2	2	1	1	1	2	2	2	2	2	
4134_TR23697-c0_g1_i1.fna	1	1	1	1	2	3	1	1	1	3	2	4	2	2	2	
4135_TR26156-c0_g1_i1.fna	1	2	1	2	1	1	1	1	1	2	1	1	1	1	1	
4136_TR35037-c0_g1_i3.fna	6	2	0	5	5	4	4	6	6	5	5	3	4	4	6	
4137_TR35990-c0_g1_i1.fna	2	1	1	1	1	1	1	1	1	5	1	1	4	3	1	
4138_TR45-c0_g1_i3.fna	1	2	2	1	2	2	2	1	2	2	2	0	0	2	1	
