# /home/contrera/soft/github/get_homologues//pfam_enrich.pl -d cds_est_homologues -c clusters_cds -x clusters_cds_t3/SBCC073_pangenes_list.txt -n 1 -s 0 -e 1 -t greater -p 1.00 -r SBCC073 -f SBCC073_accessory.fna

# parsing clusters...
# 39538 sequences extracted from 112499 clusters

# total experiment sequence ids = 6304
# total control    sequence ids = 39538

# parse_Pfam_freqs: set1 = 813 Pfams set2 = 3863 Pfams


# created FASTA file: SBCC073_accessory.fna

# sequences=6304 mean length=400.3 , seqs/cluster=1.14

# fisher exact test type: 'greater'
# multi-testing p-value adjustment: fdr
# adjusted p-value threshold: 1

# total annotated domains: experiment=1898 control=19558

#PfamID	counts(exp)	counts(ctr)	freq(exp)	freq(ctr)	p-value	p-value(adj)	description
PF00208	0	3	0.000e+00	1.534e-04	1.000e+00	1.000e+00	Glutamate/Leucine/Phenylalanine/Valine dehydrogenase
PF00215	0	3	0.000e+00	1.534e-04	1.000e+00	1.000e+00	Orotidine 5'-phosphate decarboxylase / HUMPS family
PF00217	0	1	0.000e+00	5.113e-05	1.000e+00	1.000e+00	ATP:guanido phosphotransferase, C-terminal catalytic domain
PF00218	0	3	0.000e+00	1.534e-04	1.000e+00	1.000e+00	Indole-3-glycerol phosphate synthase
PF00228	0	1	0.000e+00	5.113e-05	1.000e+00	1.000e+00	Bowman-Birk serine protease inhibitor family
PF00231	0	2	0.000e+00	1.023e-04	1.000e+00	1.000e+00	ATP synthase
PF00238	0	6	0.000e+00	3.068e-04	1.000e+00	1.000e+00	Ribosomal protein L14p/L23e
PF00241	0	6	0.000e+00	3.068e-04	1.000e+00	1.000e+00	Cofilin/tropomyosin-type actin-binding protein
PF00244	0	6	0.000e+00	3.068e-04	1.000e+00	1.000e+00	14-3-3 protein
PF00246	0	2	0.000e+00	1.023e-04	1.000e+00	1.000e+00	Zinc carboxypeptidase
PF00253	0	5	0.000e+00	2.556e-04	1.000e+00	1.000e+00	Ribosomal protein S14p/S29e
PF00255	0	6	0.000e+00	3.068e-04	1.000e+00	1.000e+00	Glutathione peroxidase
PF00257	0	1	0.000e+00	5.113e-05	1.000e+00	1.000e+00	Dehydrin
PF00258	0	3	0.000e+00	1.534e-04	1.000e+00	1.000e+00	Flavodoxin
PF00261	0	3	0.000e+00	1.534e-04	1.000e+00	1.000e+00	Tropomyosin
PF00262	0	5	0.000e+00	2.556e-04	1.000e+00	1.000e+00	Calreticulin family
PF00265	0	1	0.000e+00	5.113e-05	1.000e+00	1.000e+00	Thymidine kinase
PF00266	0	6	0.000e+00	3.068e-04	1.000e+00	1.000e+00	Aminotransferase class-V
PF00268	0	1	0.000e+00	5.113e-05	1.000e+00	1.000e+00	Ribonucleotide reductase, small chain
PF00274	0	5	0.000e+00	2.556e-04	1.000e+00	1.000e+00	Fructose-bisphosphate aldolase class-I
PF00275	0	1	0.000e+00	5.113e-05	1.000e+00	1.000e+00	EPSP synthase (3-phosphoshikimate 1-carboxyvinyltransferase)
PF00278	0	1	0.000e+00	5.113e-05	1.000e+00	1.000e+00	Pyridoxal-dependent decarboxylase, C-terminal sheet domain
PF00282	0	8	0.000e+00	4.090e-04	1.000e+00	1.000e+00	Pyridoxal-dependent decarboxylase conserved domain
PF00285	0	4	0.000e+00	2.045e-04	1.000e+00	1.000e+00	Citrate synthase, C-terminal domain
PF00287	0	2	0.000e+00	1.023e-04	1.000e+00	1.000e+00	Sodium / potassium ATPase beta chain
PF00288	0	8	0.000e+00	4.090e-04	1.000e+00	1.000e+00	GHMP kinases N terminal domain
PF00289	0	3	0.000e+00	1.534e-04	1.000e+00	1.000e+00	Biotin carboxylase, N-terminal domain
PF00290	0	9	0.000e+00	4.602e-04	1.000e+00	1.000e+00	Tryptophan synthase alpha chain
PF00291	0	13	0.000e+00	6.647e-04	1.000e+00	1.000e+00	Pyridoxal-phosphate dependent enzyme
PF00293	0	16	0.000e+00	8.181e-04	1.000e+00	1.000e+00	NUDIX domain
PF00297	0	5	0.000e+00	2.556e-04	1.000e+00	1.000e+00	Ribosomal protein L3
PF00298	0	4	0.000e+00	2.045e-04	1.000e+00	1.000e+00	Ribosomal protein L11, RNA binding domain
PF00301	0	1	0.000e+00	5.113e-05	1.000e+00	1.000e+00	Rubredoxin
PF00302	0	2	0.000e+00	1.023e-04	1.000e+00	1.000e+00	Chloramphenicol acetyltransferase
PF00303	0	1	0.000e+00	5.113e-05	1.000e+00	1.000e+00	Thymidylate synthase
PF00310	0	2	0.000e+00	1.023e-04	1.000e+00	1.000e+00	Glutamine amidotransferases class-II
PF00312	0	6	0.000e+00	3.068e-04	1.000e+00	1.000e+00	Ribosomal protein S15
PF00316	0	5	0.000e+00	2.556e-04	1.000e+00	1.000e+00	Fructose-1-6-bisphosphatase, N-terminal domain
PF00317	0	1	0.000e+00	5.113e-05	1.000e+00	1.000e+00	Ribonucleotide reductase, all-alpha domain
PF00318	0	4	0.000e+00	2.045e-04	1.000e+00	1.000e+00	Ribosomal protein S2
PF00327	0	4	0.000e+00	2.045e-04	1.000e+00	1.000e+00	Ribosomal protein L30p/L7e
PF00328	0	4	0.000e+00	2.045e-04	1.000e+00	1.000e+00	Histidine phosphatase superfamily (branch 2)
PF00329	0	1	0.000e+00	5.113e-05	1.000e+00	1.000e+00	Respiratory-chain NADH dehydrogenase, 30 Kd subunit
PF00330	0	4	0.000e+00	2.045e-04	1.000e+00	1.000e+00	Aconitase family (aconitate hydratase)
PF00331	0	1	0.000e+00	5.113e-05	1.000e+00	1.000e+00	Glycosyl hydrolase family 10
PF00333	0	4	0.000e+00	2.045e-04	1.000e+00	1.000e+00	Ribosomal protein S5, N-terminal domain
PF00334	0	6	0.000e+00	3.068e-04	1.000e+00	1.000e+00	Nucleoside diphosphate kinase
PF00335	0	7	0.000e+00	3.579e-04	1.000e+00	1.000e+00	Tetraspanin family
PF00342	0	2	0.000e+00	1.023e-04	1.000e+00	1.000e+00	Phosphoglucose isomerase
PF00343	0	2	0.000e+00	1.023e-04	1.000e+00	1.000e+00	Carbohydrate phosphorylase
PF00344	0	6	0.000e+00	3.068e-04	1.000e+00	1.000e+00	SecY translocase
PF00346	0	2	0.000e+00	1.023e-04	1.000e+00	1.000e+00	Respiratory-chain NADH dehydrogenase, 49 Kd subunit
PF00347	0	8	0.000e+00	4.090e-04	1.000e+00	1.000e+00	Ribosomal protein L6
PF00349	0	8	0.000e+00	4.090e-04	1.000e+00	1.000e+00	Hexokinase
PF00350	0	9	0.000e+00	4.602e-04	1.000e+00	1.000e+00	Dynamin family
PF00352	0	5	0.000e+00	2.556e-04	1.000e+00	1.000e+00	Transcription factor TFIID (or TATA-binding protein, TBP)
PF00355	0	8	0.000e+00	4.090e-04	1.000e+00	1.000e+00	Rieske [2Fe-2S] domain
PF00360	0	2	0.000e+00	1.023e-04	1.000e+00	1.000e+00	Phytochrome region
PF00364	0	11	0.000e+00	5.624e-04	1.000e+00	1.000e+00	Biotin-requiring enzyme
PF00366	0	5	0.000e+00	2.556e-04	1.000e+00	1.000e+00	Ribosomal protein S17
PF00368	0	2	0.000e+00	1.023e-04	1.000e+00	1.000e+00	Hydroxymethylglutaryl-coenzyme A reductase
PF00370	0	4	0.000e+00	2.045e-04	1.000e+00	1.000e+00	FGGY family of carbohydrate kinases, N-terminal domain
PF00373	0	1	0.000e+00	5.113e-05	1.000e+00	1.000e+00	FERM central domain
PF00378	0	10	0.000e+00	5.113e-04	1.000e+00	1.000e+00	Enoyl-CoA hydratase/isomerase
PF00379	0	2	0.000e+00	1.023e-04	1.000e+00	1.000e+00	Insect cuticle protein
PF00382	0	3	0.000e+00	1.534e-04	1.000e+00	1.000e+00	Transcription factor TFIIB repeat
PF00383	0	7	0.000e+00	3.579e-04	1.000e+00	1.000e+00	Cytidine and deoxycytidylate deaminase zinc-binding region
PF00384	0	1	0.000e+00	5.113e-05	1.000e+00	1.000e+00	Molybdopterin oxidoreductase
PF00387	0	2	0.000e+00	1.023e-04	1.000e+00	1.000e+00	Phosphatidylinositol-specific phospholipase C, Y domain
PF00388	0	3	0.000e+00	1.534e-04	1.000e+00	1.000e+00	Phosphatidylinositol-specific phospholipase C, X domain
PF00389	0	1	0.000e+00	5.113e-05	1.000e+00	1.000e+00	D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain
PF00390	0	6	0.000e+00	3.068e-04	1.000e+00	1.000e+00	Malic enzyme, N-terminal domain
PF00391	0	1	0.000e+00	5.113e-05	1.000e+00	1.000e+00	PEP-utilising enzyme, mobile domain
PF00393	0	2	0.000e+00	1.023e-04	1.000e+00	1.000e+00	6-phosphogluconate dehydrogenase, C-terminal domain
PF00394	0	5	0.000e+00	2.556e-04	1.000e+00	1.000e+00	Multicopper oxidase
PF00395	0	1	0.000e+00	5.113e-05	1.000e+00	1.000e+00	S-layer homology domain
PF00396	0	3	0.000e+00	1.534e-04	1.000e+00	1.000e+00	Granulin
PF00397	0	6	0.000e+00	3.068e-04	1.000e+00	1.000e+00	WW domain
PF00398	0	3	0.000e+00	1.534e-04	1.000e+00	1.000e+00	Ribosomal RNA adenine dimethylase
PF00403	0	30	0.000e+00	1.534e-03	1.000e+00	1.000e+00	Heavy-metal-associated domain
PF00406	0	10	0.000e+00	5.113e-04	1.000e+00	1.000e+00	Adenylate kinase
PF00408	0	3	0.000e+00	1.534e-04	1.000e+00	1.000e+00	Phosphoglucomutase/phosphomannomutase, C-terminal domain
PF00410	0	5	0.000e+00	2.556e-04	1.000e+00	1.000e+00	Ribosomal protein S8
PF00413	0	1	0.000e+00	5.113e-05	1.000e+00	1.000e+00	Matrixin
PF00416	0	4	0.000e+00	2.045e-04	1.000e+00	1.000e+00	Ribosomal protein S13/S18
PF00421	0	2	0.000e+00	1.023e-04	1.000e+00	1.000e+00	Photosystem II protein
PF00425	0	4	0.000e+00	2.045e-04	1.000e+00	1.000e+00	chorismate binding enzyme
PF00428	0	9	0.000e+00	4.602e-04	1.000e+00	1.000e+00	60s Acidic ribosomal protein
PF00432	0	3	0.000e+00	1.534e-04	1.000e+00	1.000e+00	Prenyltransferase and squalene oxidase repeat
PF00433	0	6	0.000e+00	3.068e-04	1.000e+00	1.000e+00	Protein kinase C terminal domain
PF00436	0	3	0.000e+00	1.534e-04	1.000e+00	1.000e+00	Single-strand binding protein family
PF00441	0	5	0.000e+00	2.556e-04	1.000e+00	1.000e+00	Acyl-CoA dehydrogenase, C-terminal domain
PF00445	0	4	0.000e+00	2.045e-04	1.000e+00	1.000e+00	Ribonuclease T2 family
PF00449	0	1	0.000e+00	5.113e-05	1.000e+00	1.000e+00	Urease alpha-subunit, N-terminal domain
PF00456	0	1	0.000e+00	5.113e-05	1.000e+00	1.000e+00	Transketolase, thiamine diphosphate binding domain
PF00464	0	4	0.000e+00	2.045e-04	1.000e+00	1.000e+00	Serine hydroxymethyltransferase
PF00466	0	4	0.000e+00	2.045e-04	1.000e+00	1.000e+00	Ribosomal protein L10
PF00468	0	1	0.000e+00	5.113e-05	1.000e+00	1.000e+00	Ribosomal protein L34
PF00475	0	2	0.000e+00	1.023e-04	1.000e+00	1.000e+00	Imidazoleglycerol-phosphate dehydratase
PF00476	0	3	0.000e+00	1.534e-04	1.000e+00	1.000e+00	DNA polymerase family A
PF00478	0	1	0.000e+00	5.113e-05	1.000e+00	1.000e+00	IMP dehydrogenase / GMP reductase domain
PF00484	0	3	0.000e+00	1.534e-04	1.000e+00	1.000e+00	Carbonic anhydrase
PF00485	0	9	0.000e+00	4.602e-04	1.000e+00	1.000e+00	Phosphoribulokinase / Uridine kinase family
PF00487	0	8	0.000e+00	4.090e-04	1.000e+00	1.000e+00	Fatty acid desaturase
PF00490	0	2	0.000e+00	1.023e-04	1.000e+00	1.000e+00	Delta-aminolevulinic acid dehydratase
PF00491	0	1	0.000e+00	5.113e-05	1.000e+00	1.000e+00	Arginase family
PF00493	0	2	0.000e+00	1.023e-04	1.000e+00	1.000e+00	MCM P-loop domain
PF00494	0	5	0.000e+00	2.556e-04	1.000e+00	1.000e+00	Squalene/phytoene synthase
PF00498	0	10	0.000e+00	5.113e-04	1.000e+00	1.000e+00	FHA domain
PF00499	0	2	0.000e+00	1.023e-04	1.000e+00	1.000e+00	NADH-ubiquinone/plastoquinone oxidoreductase chain 6
PF00505	0	9	0.000e+00	4.602e-04	1.000e+00	1.000e+00	HMG (high mobility group) box
PF00510	0	3	0.000e+00	1.534e-04	1.000e+00	1.000e+00	Cytochrome c oxidase subunit III
PF00512	0	8	0.000e+00	4.090e-04	1.000e+00	1.000e+00	His Kinase A (phospho-acceptor) domain
PF00520	0	16	0.000e+00	8.181e-04	1.000e+00	1.000e+00	Ion transport protein
PF00533	0	6	0.000e+00	3.068e-04	1.000e+00	1.000e+00	BRCA1 C Terminus (BRCT) domain
PF00535	0	5	0.000e+00	2.556e-04	1.000e+00	1.000e+00	Glycosyl transferase family 2
PF00536	0	5	0.000e+00	2.556e-04	1.000e+00	1.000e+00	SAM domain (Sterile alpha motif)
PF00538	0	9	0.000e+00	4.602e-04	1.000e+00	1.000e+00	linker histone H1 and H5 family
PF00543	0	2	0.000e+00	1.023e-04	1.000e+00	1.000e+00	Nitrogen regulatory protein P-II
PF00544	0	1	0.000e+00	5.113e-05	1.000e+00	1.000e+00	Pectate lyase
PF00549	0	3	0.000e+00	1.534e-04	1.000e+00	1.000e+00	CoA-ligase
PF00550	0	8	0.000e+00	4.090e-04	1.000e+00	1.000e+00	Phosphopantetheine attachment site
PF00551	0	5	0.000e+00	2.556e-04	1.000e+00	1.000e+00	Formyl transferase
PF00562	0	4	0.000e+00	2.045e-04	1.000e+00	1.000e+00	RNA polymerase Rpb2, domain 6
PF00565	0	5	0.000e+00	2.556e-04	1.000e+00	1.000e+00	Staphylococcal nuclease homologue
PF00567	0	1	0.000e+00	5.113e-05	1.000e+00	1.000e+00	Tudor domain
PF00570	0	5	0.000e+00	2.556e-04	1.000e+00	1.000e+00	HRDC domain
PF00571	0	26	0.000e+00	1.329e-03	1.000e+00	1.000e+00	CBS domain
PF00572	0	4	0.000e+00	2.045e-04	1.000e+00	1.000e+00	Ribosomal protein L13
PF00573	0	4	0.000e+00	2.045e-04	1.000e+00	1.000e+00	Ribosomal protein L4/L1 family
PF00574	0	11	0.000e+00	5.624e-04	1.000e+00	1.000e+00	Clp protease
PF00576	0	1	0.000e+00	5.113e-05	1.000e+00	1.000e+00	HIUase/Transthyretin family
PF00578	0	6	0.000e+00	3.068e-04	1.000e+00	1.000e+00	AhpC/TSA family
PF00579	0	4	0.000e+00	2.045e-04	1.000e+00	1.000e+00	tRNA synthetases class I (W and Y)
PF00580	0	1	0.000e+00	5.113e-05	1.000e+00	1.000e+00	UvrD/REP helicase N-terminal domain
PF00584	0	2	0.000e+00	1.023e-04	1.000e+00	1.000e+00	SecE/Sec61-gamma subunits of protein translocation complex
PF00585	0	1	0.000e+00	5.113e-05	1.000e+00	1.000e+00	C-terminal regulatory domain of Threonine dehydratase
PF00586	0	1	0.000e+00	5.113e-05	1.000e+00	1.000e+00	AIR synthase related protein, N-terminal domain
PF00587	0	9	0.000e+00	4.602e-04	1.000e+00	1.000e+00	tRNA synthetase class II core domain (G, H, P, S and T)
PF00590	0	2	0.000e+00	1.023e-04	1.000e+00	1.000e+00	Tetrapyrrole (Corrin/Porphyrin) Methylases
PF00591	0	1	0.000e+00	5.113e-05	1.000e+00	1.000e+00	Glycosyl transferase family, a/b domain
PF00595	0	1	0.000e+00	5.113e-05	1.000e+00	1.000e+00	PDZ domain
PF00596	0	1	0.000e+00	5.113e-05	1.000e+00	1.000e+00	Class II Aldolase and Adducin N-terminal domain
PF00609	0	7	0.000e+00	3.579e-04	1.000e+00	1.000e+00	Diacylglycerol kinase accessory domain
PF00610	0	1	0.000e+00	5.113e-05	1.000e+00	1.000e+00	Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)
PF00613	0	2	0.000e+00	1.023e-04	1.000e+00	1.000e+00	Phosphoinositide 3-kinase family, accessory domain (PIK domain)
PF00614	0	6	0.000e+00	3.068e-04	1.000e+00	1.000e+00	Phospholipase D Active site motif
PF00620	0	6	0.000e+00	3.068e-04	1.000e+00	1.000e+00	RhoGAP domain
PF00622	0	2	0.000e+00	1.023e-04	1.000e+00	1.000e+00	SPRY domain
PF00625	0	3	0.000e+00	1.534e-04	1.000e+00	1.000e+00	Guanylate kinase
PF00626	0	8	0.000e+00	4.090e-04	1.000e+00	1.000e+00	Gelsolin repeat
PF00627	0	15	0.000e+00	7.669e-04	1.000e+00	1.000e+00	UBA/TS-N domain
PF00632	0	7	0.000e+00	3.579e-04	1.000e+00	1.000e+00	HECT-domain (ubiquitin-transferase)
PF00636	0	7	0.000e+00	3.579e-04	1.000e+00	1.000e+00	Ribonuclease III domain
PF00637	0	8	0.000e+00	4.090e-04	1.000e+00	1.000e+00	Region in Clathrin and VPS
PF00643	0	5	0.000e+00	2.556e-04	1.000e+00	1.000e+00	B-box zinc finger
PF00644	0	3	0.000e+00	1.534e-04	1.000e+00	1.000e+00	Poly(ADP-ribose) polymerase catalytic domain
PF00647	0	2	0.000e+00	1.023e-04	1.000e+00	1.000e+00	Elongation factor 1 gamma, conserved domain
PF00648	0	1	0.000e+00	5.113e-05	1.000e+00	1.000e+00	Calpain family cysteine protease
PF00654	0	9	0.000e+00	4.602e-04	1.000e+00	1.000e+00	Voltage gated chloride channel
PF00658	0	4	0.000e+00	2.045e-04	1.000e+00	1.000e+00	Poly-adenylate binding protein, unique domain
PF00662	0	1	0.000e+00	5.113e-05	1.000e+00	1.000e+00	NADH-Ubiquinone oxidoreductase (complex I), chain 5 N-terminus
PF00667	0	3	0.000e+00	1.534e-04	1.000e+00	1.000e+00	FAD binding domain
PF00670	0	1	0.000e+00	5.113e-05	1.000e+00	1.000e+00	S-adenosyl-L-homocysteine hydrolase, NAD binding domain
PF00675	0	12	0.000e+00	6.136e-04	1.000e+00	1.000e+00	Insulinase (Peptidase family M16)
PF00676	0	6	0.000e+00	3.068e-04	1.000e+00	1.000e+00	Dehydrogenase E1 component
PF00677	0	1	0.000e+00	5.113e-05	1.000e+00	1.000e+00	Lumazine binding domain
PF00679	0	11	0.000e+00	5.624e-04	1.000e+00	1.000e+00	Elongation factor G C-terminus
PF00682	0	3	0.000e+00	1.534e-04	1.000e+00	1.000e+00	HMGL-like
PF00684	0	3	0.000e+00	1.534e-04	1.000e+00	1.000e+00	DnaJ central domain
PF00685	0	4	0.000e+00	2.045e-04	1.000e+00	1.000e+00	Sulfotransferase domain
PF00686	0	3	0.000e+00	1.534e-04	1.000e+00	1.000e+00	Starch binding domain
PF00687	0	7	0.000e+00	3.579e-04	1.000e+00	1.000e+00	Ribosomal protein L1p/L10e family
PF00689	0	11	0.000e+00	5.624e-04	1.000e+00	1.000e+00	Cation transporting ATPase, C-terminus
PF00694	0	2	0.000e+00	1.023e-04	1.000e+00	1.000e+00	Aconitase C-terminal domain
PF00697	0	1	0.000e+00	5.113e-05	1.000e+00	1.000e+00	N-(5'phosphoribosyl)anthranilate (PRA) isomerase
PF00698	0	1	0.000e+00	5.113e-05	1.000e+00	1.000e+00	Acyl transferase domain
PF00701	0	2	0.000e+00	1.023e-04	1.000e+00	1.000e+00	Dihydrodipicolinate synthetase family
PF00703	0	2	0.000e+00	1.023e-04	1.000e+00	1.000e+00	Glycosyl hydrolases family 2
PF00704	0	2	0.000e+00	1.023e-04	1.000e+00	1.000e+00	Glycosyl hydrolases family 18
PF00705	0	2	0.000e+00	1.023e-04	1.000e+00	1.000e+00	Proliferating cell nuclear antigen, N-terminal domain
PF00707	0	2	0.000e+00	1.023e-04	1.000e+00	1.000e+00	Translation initiation factor IF-3, C-terminal domain
PF00709	0	2	0.000e+00	1.023e-04	1.000e+00	1.000e+00	Adenylosuccinate synthetase
PF00717	0	2	0.000e+00	1.023e-04	1.000e+00	1.000e+00	Peptidase S24-like
PF00719	0	8	0.000e+00	4.090e-04	1.000e+00	1.000e+00	Inorganic pyrophosphatase
PF00722	0	6	0.000e+00	3.068e-04	1.000e+00	1.000e+00	Glycosyl hydrolases family 16
PF00724	0	6	0.000e+00	3.068e-04	1.000e+00	1.000e+00	NADH:flavin oxidoreductase / NADH oxidase family
PF00728	0	2	0.000e+00	1.023e-04	1.000e+00	1.000e+00	Glycosyl hydrolase family 20, catalytic domain
PF00731	0	2	0.000e+00	1.023e-04	1.000e+00	1.000e+00	AIR carboxylase
PF00733	0	4	0.000e+00	2.045e-04	1.000e+00	1.000e+00	Asparagine synthase
PF00736	0	3	0.000e+00	1.534e-04	1.000e+00	1.000e+00	EF-1 guanine nucleotide exchange domain
PF00742	0	2	0.000e+00	1.023e-04	1.000e+00	1.000e+00	Homoserine dehydrogenase
PF00743	0	10	0.000e+00	5.113e-04	1.000e+00	1.000e+00	Flavin-binding monooxygenase-like
PF00749	0	3	0.000e+00	1.534e-04	1.000e+00	1.000e+00	tRNA synthetases class I (E and Q), catalytic domain
PF00750	0	1	0.000e+00	5.113e-05	1.000e+00	1.000e+00	tRNA synthetases class I (R)
PF00752	0	1	0.000e+00	5.113e-05	1.000e+00	1.000e+00	XPG N-terminal domain
PF00753	0	6	0.000e+00	3.068e-04	1.000e+00	1.000e+00	Metallo-beta-lactamase superfamily
PF00754	0	1	0.000e+00	5.113e-05	1.000e+00	1.000e+00	F5/8 type C domain
PF00756	0	2	0.000e+00	1.023e-04	1.000e+00	1.000e+00	Putative esterase
PF00762	0	2	0.000e+00	1.023e-04	1.000e+00	1.000e+00	Ferrochelatase
PF00763	0	5	0.000e+00	2.556e-04	1.000e+00	1.000e+00	Tetrahydrofolate dehydrogenase/cyclohydrolase, catalytic domain
PF00764	0	1	0.000e+00	5.113e-05	1.000e+00	1.000e+00	Arginosuccinate synthase
PF00766	0	2	0.000e+00	1.023e-04	1.000e+00	1.000e+00	Electron transfer flavoprotein FAD-binding domain
PF00773	0	3	0.000e+00	1.534e-04	1.000e+00	1.000e+00	RNB domain
PF00777	0	3	0.000e+00	1.534e-04	1.000e+00	1.000e+00	Glycosyltransferase family 29 (sialyltransferase)
PF00780	0	1	0.000e+00	5.113e-05	1.000e+00	1.000e+00	CNH domain
PF00782	0	16	0.000e+00	8.181e-04	1.000e+00	1.000e+00	Dual specificity phosphatase, catalytic domain
PF00784	0	1	0.000e+00	5.113e-05	1.000e+00	1.000e+00	MyTH4 domain
PF00786	0	1	0.000e+00	5.113e-05	1.000e+00	1.000e+00	P21-Rho-binding domain
PF00787	0	6	0.000e+00	3.068e-04	1.000e+00	1.000e+00	PX domain
PF00789	0	10	0.000e+00	5.113e-04	1.000e+00	1.000e+00	UBX domain
PF00792	0	1	0.000e+00	5.113e-05	1.000e+00	1.000e+00	Phosphoinositide 3-kinase C2
PF00793	0	1	0.000e+00	5.113e-05	1.000e+00	1.000e+00	DAHP synthetase I family
PF00795	0	8	0.000e+00	4.090e-04	1.000e+00	1.000e+00	Carbon-nitrogen hydrolase
PF00800	0	4	0.000e+00	2.045e-04	1.000e+00	1.000e+00	Prephenate dehydratase
PF00805	0	4	0.000e+00	2.045e-04	1.000e+00	1.000e+00	Pentapeptide repeats (8 copies)
PF00808	0	10	0.000e+00	5.113e-04	1.000e+00	1.000e+00	Histone-like transcription factor (CBF/NF-Y) and archaeal histone
PF00809	0	1	0.000e+00	5.113e-05	1.000e+00	1.000e+00	Pterin binding enzyme
PF00810	0	4	0.000e+00	2.045e-04	1.000e+00	1.000e+00	ER lumen protein retaining receptor
PF00814	0	2	0.000e+00	1.023e-04	1.000e+00	1.000e+00	tRNA N6-adenosine threonylcarbamoyltransferase
PF00815	0	1	0.000e+00	5.113e-05	1.000e+00	1.000e+00	Histidinol dehydrogenase
PF00817	0	3	0.000e+00	1.534e-04	1.000e+00	1.000e+00	impB/mucB/samB family
PF00827	0	2	0.000e+00	1.023e-04	1.000e+00	1.000e+00	Ribosomal L15
PF00828	0	4	0.000e+00	2.045e-04	1.000e+00	1.000e+00	Ribosomal proteins 50S-L15, 50S-L18e, 60S-L27A
PF00829	0	2	0.000e+00	1.023e-04	1.000e+00	1.000e+00	Ribosomal prokaryotic L21 protein
PF00831	0	3	0.000e+00	1.534e-04	1.000e+00	1.000e+00	Ribosomal L29 protein
PF00832	0	1	0.000e+00	5.113e-05	1.000e+00	1.000e+00	Ribosomal L39 protein
PF00833	0	2	0.000e+00	1.023e-04	1.000e+00	1.000e+00	Ribosomal S17
PF00834	0	2	0.000e+00	1.023e-04	1.000e+00	1.000e+00	Ribulose-phosphate 3 epimerase family
PF00838	0	3	0.000e+00	1.534e-04	1.000e+00	1.000e+00	Translationally controlled tumour protein
PF00848	0	1	0.000e+00	5.113e-05	1.000e+00	1.000e+00	Ring hydroxylating alpha subunit (catalytic domain)
PF00849	0	8	0.000e+00	4.090e-04	1.000e+00	1.000e+00	RNA pseudouridylate synthase
PF00852	0	2	0.000e+00	1.023e-04	1.000e+00	1.000e+00	Glycosyltransferase family 10 (fucosyltransferase) C-term
PF00855	0	8	0.000e+00	4.090e-04	1.000e+00	1.000e+00	PWWP domain
PF00857	0	2	0.000e+00	1.023e-04	1.000e+00	1.000e+00	Isochorismatase family
PF00860	0	8	0.000e+00	4.090e-04	1.000e+00	1.000e+00	Permease family
PF00861	0	4	0.000e+00	2.045e-04	1.000e+00	1.000e+00	Ribosomal L18 of archaea, bacteria, mitoch. and chloroplast
PF00872	0	1	0.000e+00	5.113e-05	1.000e+00	1.000e+00	Transposase, Mutator family
PF00875	0	7	0.000e+00	3.579e-04	1.000e+00	1.000e+00	DNA photolyase
PF00876	0	3	0.000e+00	1.534e-04	1.000e+00	1.000e+00	Innexin
PF00883	0	1	0.000e+00	5.113e-05	1.000e+00	1.000e+00	Cytosol aminopeptidase family, catalytic domain
PF00885	0	1	0.000e+00	5.113e-05	1.000e+00	1.000e+00	6,7-dimethyl-8-ribityllumazine synthase
PF00887	0	4	0.000e+00	2.045e-04	1.000e+00	1.000e+00	Acyl CoA binding protein
PF00888	0	7	0.000e+00	3.579e-04	1.000e+00	1.000e+00	Cullin family
PF00891	0	5	0.000e+00	2.556e-04	1.000e+00	1.000e+00	O-methyltransferase domain
PF00892	0	22	0.000e+00	1.125e-03	1.000e+00	1.000e+00	EamA-like transporter family
PF00899	0	11	0.000e+00	5.624e-04	1.000e+00	1.000e+00	ThiF family
PF00900	0	2	0.000e+00	1.023e-04	1.000e+00	1.000e+00	Ribosomal family S4e
PF00902	0	1	0.000e+00	5.113e-05	1.000e+00	1.000e+00	Sec-independent protein translocase protein (TatC)
PF00903	0	7	0.000e+00	3.579e-04	1.000e+00	1.000e+00	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily
PF00916	0	6	0.000e+00	3.068e-04	1.000e+00	1.000e+00	Sulfate permease family
PF00919	0	2	0.000e+00	1.023e-04	1.000e+00	1.000e+00	Uncharacterized protein family UPF0004
PF00920	0	1	0.000e+00	5.113e-05	1.000e+00	1.000e+00	Dehydratase family
PF00923	0	3	0.000e+00	1.534e-04	1.000e+00	1.000e+00	Transaldolase/Fructose-6-phosphate aldolase
PF00924	0	6	0.000e+00	3.068e-04	1.000e+00	1.000e+00	Mechanosensitive ion channel
PF00925	0	3	0.000e+00	1.534e-04	1.000e+00	1.000e+00	GTP cyclohydrolase II
PF00926	0	3	0.000e+00	1.534e-04	1.000e+00	1.000e+00	3,4-dihydroxy-2-butanone 4-phosphate synthase
PF00928	0	9	0.000e+00	4.602e-04	1.000e+00	1.000e+00	Adaptor complexes medium subunit family
PF00930	0	1	0.000e+00	5.113e-05	1.000e+00	1.000e+00	Dipeptidyl peptidase IV (DPP IV) N-terminal region
PF00935	0	4	0.000e+00	2.045e-04	1.000e+00	1.000e+00	Ribosomal protein L44
