<omega>	pairs	n_of_seqs	file
0	10	5	my_98338_TR35262-c4_g11_i1_aln.fna
0.45	55	11	my_67016_TR27487-c0_g1_i1_aln.fna
0.43	15	6	my_90894_TR35331-c0_g1_i2_aln.fna
0.47	10	5	my_30686_TR6577-c0_g1_i1_aln.fna
0	6	4	my_34536_TR4064-c0_g1_i1_aln.fna
0	6	4	my_97567_TR3608-c0_g1_i1_aln.fna
0	10	5	my_105928_TR32563-c1_g1_i1_aln.fna
0	105	15	my_24262_TR29214-c0_g1_i1_aln.fna
0	6	4	my_35418_TR4625-c0_g1_i1_aln.fna
0	10	5	my_97529_TR32846-c1_g1_i1_aln.fna
0	6	4	my_295288_TR34448-c0_g1_i1_aln.fna
0	45	10	my_69233_TR16742-c0_g1_i1_aln.fna
0.05	55	11	my_26622_TR16523-c0_g1_i1_aln.fna
0	10	5	my_33572_TR9826-c0_g1_i1_aln.fna
0	105	15	my_20296_TR7163-c0_g1_i1_aln.fna
0.14	78	13	my_34074_TR27241-c0_g1_i1_aln.fna
0	28	8	my_30225_TR25040-c0_g1_i1_aln.fna
0.18	6	4	my_34523_TR1733-c0_g1_i1_aln.fna
0	28	8	my_22465_TR27168-c0_g1_i1_aln.fna
0.08	55	11	my_25007_TR22934-c0_g1_i1_aln.fna
0.91	6	4	my_59904_TR10856-c0_g1_i1_aln.fna
0	28	8	my_71003_TR24299-c0_g1_i1_aln.fna
0	15	6	my_128509_TR4319-c0_g1_i1_aln.fna
0.17	28	8	my_125471_TR22640-c0_g1_i1_aln.fna
1.35	6	4	my_33108_TR29076-c0_g1_i1_aln.fna
0.64	66	12	my_31317_TR9757-c0_g1_i1_aln.fna
0	15	6	my_19695_TR13193-c0_g1_i1_aln.fna
0	120	16	my_22631_TR2652-c0_g1_i1_aln.fna
0.7	28	8	my_120136_TR28510-c0_g1_i2_aln.fna
0.17	28	8	my_124276_TR21448-c0_g1_i1_aln.fna
0	28	8	my_68191_TR20043-c0_g1_i1_aln.fna
0.37	15	6	my_23357_TR16742-c0_g1_i1_aln.fna
0	10	5	my_53905_TR15470-c0_g1_i1_aln.fna
0	21	7	my_33409_TR11396-c0_g1_i1_aln.fna
0	15	6	my_140605_TR33261-c0_g1_i1_aln.fna
0	6	4	my_34753_TR5194-c0_g1_i1_aln.fna
0.18	6	4	my_104495_TR16985-c0_g1_i1_aln.fna
0.24	10	5	my_63078_TR23294-c0_g1_i1_aln.fna
0.53	6	4	my_95545_TR6995-c0_g2_i4_aln.fna
0	6	4	my_220127_TR30075-c0_g1_i1_aln.fna
0.08	15	6	my_34873_TR26543-c0_g1_i1_aln.fna
0.27	45	10	my_27522_TR25293-c0_g1_i1_aln.fna
0.31	10	5	my_28337_TR8695-c0_g1_i1_aln.fna
0.88	10	5	my_61040_TR26149-c0_g1_i1_aln.fna
0.02	28	8	my_23360_TR17529-c0_g1_i1_aln.fna
0	120	16	my_15440_TR29142-c0_g1_i1_aln.fna
0	120	16	my_17258_TR13737-c0_g1_i1_aln.fna
0.45	28	8	my_32950_TR35004-c0_g1_i1_aln.fna
0	10	5	my_31704_TR13154-c0_g1_i1_aln.fna
0.32	55	11	my_19387_TR14675-c0_g1_i1_aln.fna
0	15	6	my_33670_TR31167-c0_g1_i1_aln.fna
0.56	28	8	my_27853_TR10534-c0_g1_i1_aln.fna
0.18	10	5	my_93294_TR18887-c0_g1_i1_aln.fna
0.33	6	4	my_61874_TR31930-c2_g1_i1_aln.fna
0.4	36	9	my_96763_TR7542-c0_g1_i1_aln.fna
0	10	5	my_89343_TR15607-c0_g1_i1_aln.fna
0.29	28	8	my_30681_TR5932-c0_g1_i1_aln.fna
0.49	10	5	my_28868_TR18983-c0_g1_i1_aln.fna
0	10	5	my_103816_TR24434-c0_g1_i1_aln.fna
0	6	4	my_56690_TR13729-c0_g1_i1_aln.fna
0	10	5	my_187756_TCONS_00023171_aln.fna
0	105	15	my_20340_TR23328-c0_g2_i1_aln.fna
0	15	6	my_23984_TR31518-c0_g1_i1_aln.fna
0.23	6	4	my_138327_TR8756-c0_g1_i1_aln.fna
0.6	6	4	my_31482_TR26873-c0_g1_i1_aln.fna
0	6	4	my_105731_TR32217-c0_g2_i16_aln.fna
0	28	8	my_103941_TR13494-c0_g1_i1_aln.fna
0.09	10	5	my_30133_TR16079-c2_g1_i1_aln.fna
0.12	28	8	my_18029_TR1615-c0_g1_i1_aln.fna
0.4	10	5	my_240987_TR10597-c0_g1_i1_aln.fna
0.1	6	4	my_21990_TR7086-c0_g4_i1_aln.fna
0	28	8	my_18809_TR1273-c1_g1_i1_aln.fna
0	6	4	my_138820_TR27414-c0_g1_i1_aln.fna
0	36	9	my_69070_TR19690-c0_g1_i1_aln.fna
0	120	16	my_22543_TR11298-c0_g1_i1_aln.fna
0	15	6	my_258279_TR25139-c0_g1_i1_aln.fna
0.87	15	6	my_97395_TR12203-c0_g1_i1_aln.fna
0.1	21	7	my_33708_TR570-c0_g1_i1_aln.fna
0	6	4	my_98716_TR24738-c0_g2_i1_aln.fna
0.82	6	4	my_141458_TR32421-c0_g1_i1_aln.fna
0.62	15	6	my_34658_TR26974-c1_g1_i1_aln.fna
0.2	6	4	my_34911_TR32674-c0_g1_i5_aln.fna
0	6	4	my_90567_TR2873-c0_g1_i1_aln.fna
0.35	15	6	my_33392_TR7973-c0_g1_i1_aln.fna
0	28	8	my_23719_TR7202-c0_g1_i1_aln.fna
0	6	4	my_182394_TCONS_00023541_aln.fna
0.26	15	6	my_68124_TR9409-c0_g1_i2_aln.fna
1.35	15	6	my_29594_TR19050-c0_g2_i1_aln.fna
1.12	10	5	my_138892_TR6051-c0_g1_i2_aln.fna
0	36	9	my_23669_TR27706-c0_g1_i1_aln.fna
0	15	6	my_29604_TR21684-c0_g1_i1_aln.fna
1.52	6	4	my_130004_TR18673-c0_g1_i1_aln.fna
0	10	5	my_28709_TR28939-c0_g1_i1_aln.fna
0	10	5	my_34930_TR34293-c0_g1_i1_aln.fna
0.26	6	4	my_21195_TR28712-c1_g1_i1_aln.fna
0.31	45	10	my_33561_TR9071-c0_g5_i1_aln.fna
0	6	4	my_20028_TR2110-c0_g1_i1_aln.fna
0.28	36	9	my_68043_TR33205-c0_g1_i1_aln.fna
1.16	6	4	my_250288_TR30119-c0_g1_i1_aln.fna
0	10	5	my_300034_TR1999-c0_g1_i1_aln.fna
0	45	10	my_33542_TR4453-c3_g2_i1_aln.fna
0.34	15	6	my_22495_TR34577-c0_g1_i1_aln.fna
0.78	10	5	my_99117_TR15031-c0_g1_i1_aln.fna
0	6	4	my_214133_TR27773-c0_g1_i1_aln.fna
0.67	10	5	my_26334_TR1816-c3_g1_i1_aln.fna
0.3	15	6	my_22217_TR14983-c0_g1_i1_aln.fna
0.03	28	8	my_26394_TR12844-c2_g1_i1_aln.fna
0	6	4	my_31296_TR7498-c0_g1_i1_aln.fna
0.06	6	4	my_33299_TR27563-c0_g1_i1_aln.fna
0.13	6	4	my_134863_TR7212-c2_g1_i1_aln.fna
0.03	15	6	my_65064_TR4315-c0_g1_i1_aln.fna
0	6	4	my_209759_TR22777-c0_g1_i1_aln.fna
0	6	4	my_158037_TCONS_00038657_aln.fna
0.67	10	5	my_52740_TR20843-c0_g1_i1_aln.fna
0	10	5	my_33037_TR14537-c0_g1_i1_aln.fna
0.03	66	12	my_32550_TR77-c0_g1_i1_aln.fna
0.13	6	4	my_66742_TR35538-c0_g1_i1_aln.fna
0	15	6	my_59872_TR5395-c0_g1_i1_aln.fna
0.27	21	7	my_7669_TR13026-c1_g1_i2_aln.fna
0	6	4	my_23313_TR3526-c0_g1_i1_aln.fna
0	6	4	my_93367_TR2942-c0_g1_i1_aln.fna
0.07	15	6	my_93610_TR2036-c0_g1_i1_aln.fna
0	6	4	my_137613_TR30469-c0_g1_i1_aln.fna
0.26	10	5	my_63608_TR2252-c0_g1_i1_aln.fna
0	6	4	my_25368_TR27122-c0_g1_i1_aln.fna
0	6	4	my_139133_TR15952-c0_g1_i1_aln.fna
0	6	4	my_35825_TR33960-c0_g1_i1_aln.fna
0.15	10	5	my_4779_TR13950-c0_g1_i1_aln.fna
0	45	10	my_82821_TR18946-c0_g3_i1_aln.fna
0	10	5	my_208267_TR2545-c0_g1_i1_aln.fna
0	45	10	my_25190_TR25701-c0_g1_i1_aln.fna
0	6	4	my_58541_TR8990-c0_g1_i1_aln.fna
0.24	10	5	my_62116_TR748-c0_g1_i1_aln.fna
0.21	10	5	my_105090_TR28910-c0_g1_i1_aln.fna
0.16	10	5	my_19356_TR1215-c0_g1_i1_aln.fna
0	10	5	my_70146_TR7945-c0_g1_i1_aln.fna
0	105	15	my_28404_TR17822-c0_g1_i1_aln.fna
0.78	10	5	my_63328_TR30170-c0_g1_i1_aln.fna
0	6	4	my_22094_TR14287-c0_g1_i1_aln.fna
0.08	6	4	my_242661_TR19669-c0_g1_i1_aln.fna
0.91	6	4	my_25088_TR7405-c0_g1_i1_aln.fna
0	6	4	my_100066_TR5449-c0_g1_i1_aln.fna
0	28	8	my_27966_TR23467-c2_g3_i1_aln.fna
0	21	7	my_51622_TR23437-c0_g1_i1_aln.fna
0.14	55	11	my_49739_TR5785-c0_g1_i1_aln.fna
0	28	8	my_27279_TR17759-c1_g1_i1_aln.fna
0	10	5	my_67922_TR20220-c0_g1_i1_aln.fna
0	6	4	my_187488_TCONS_00004343_aln.fna
0.16	10	5	my_155697_TCONS_00005308_aln.fna
0	6	4	my_138138_TR19365-c1_g5_i1_aln.fna
0	15	6	my_25491_TR19301-c0_g1_i1_aln.fna
0	15	6	my_66707_TR30453-c0_g1_i1_aln.fna
0	6	4	my_34167_TR8857-c0_g1_i1_aln.fna
1.46	6	4	my_332082_TR27310-c0_g1_i1_aln.fna
0.03	21	7	my_25035_TR29862-c0_g1_i1_aln.fna
0	21	7	my_34905_TR32096-c0_g1_i1_aln.fna
0.25	10	5	my_57640_TR15453-c0_g1_i1_aln.fna
0	36	9	my_69733_TR3849-c4_g3_i12_aln.fna
0	21	7	my_187310_TCONS_00018397_aln.fna
0	10	5	my_134464_TR27171-c0_g1_i1_aln.fna
0.39	6	4	my_91916_TR23093-c0_g1_i1_aln.fna
0.18	15	6	my_26724_TR34081-c0_g1_i1_aln.fna
0	6	4	my_103360_TR13060-c0_g2_i1_aln.fna
0.06	6	4	my_34438_TR21084-c0_g3_i1_aln.fna
0	15	6	my_34327_TR758-c0_g1_i1_aln.fna
0	78	13	my_29412_TR28302-c0_g1_i1_aln.fna
0	6	4	my_131506_TR27376-c0_g1_i1_aln.fna
0.06	6	4	my_131753_TR1921-c0_g1_i1_aln.fna
0.13	45	10	my_30184_TR21174-c0_g1_i1_aln.fna
0.03	91	14	my_15161_TR19239-c0_g1_i1_aln.fna
0	28	8	my_96516_TR27735-c0_g1_i1_aln.fna
0	6	4	my_407225_MLOC_53847_aln.fna
0.42	45	10	my_26145_TR3244-c0_g1_i1_aln.fna
1.09	45	10	my_29115_TR20704-c1_g1_i1_aln.fna
0.35	10	5	my_139147_TR18747-c0_g1_i1_aln.fna
0	15	6	my_19488_TR28762-c0_g1_i1_aln.fna
0	36	9	my_66302_TR20050-c0_g1_i1_aln.fna
0	10	5	my_104360_TR24058-c0_g1_i1_aln.fna
0.74	15	6	my_59384_TR2163-c0_g1_i1_aln.fna
0	28	8	my_67887_TR15898-c0_g1_i1_aln.fna
0	36	9	my_61080_TR33092-c0_g1_i1_aln.fna
0.01	28	8	my_33139_TR34723-c1_g4_i4_aln.fna
2.02	15	6	my_33543_TR4628-c3_g1_i1_aln.fna
0	6	4	my_50185_TR27666-c0_g1_i1_aln.fna
0.22	10	5	my_31732_TR15714-c0_g1_i1_aln.fna
0.21	28	8	my_30324_TR35471-c0_g1_i1_aln.fna
0.69	28	8	my_11505_TR27768-c0_g2_i1_aln.fna
0	120	16	my_28526_TR2488-c0_g1_i1_aln.fna
3.68	6	4	my_26222_TR18873-c0_g1_i1_aln.fna
0.01	6	4	my_322783_TR14883-c0_g1_i3_aln.fna
0	10	5	my_59536_TR1346-c0_g1_i1_aln.fna
0.22	6	4	my_32923_TR29275-c0_g1_i1_aln.fna
0	6	4	my_253488_TR28766-c0_g1_i1_aln.fna
0	78	13	my_24865_TR24398-c0_g1_i1_aln.fna
0.3	10	5	my_33264_TR21835-c0_g2_i1_aln.fna
0	6	4	my_69735_TR4238-c0_g1_i1_aln.fna
0	10	5	my_132995_TR7559-c0_g1_i1_aln.fna
0.03	36	9	my_21230_TR1311-c0_g1_i1_aln.fna
0	36	9	my_34895_TR30488-c0_g2_i1_aln.fna
0	6	4	my_26111_TR32635-c0_g1_i1_aln.fna
0	10	5	my_61132_TR7210-c0_g1_i1_aln.fna
0.51	6	4	my_334135_TR16150-c0_g1_i1_aln.fna
0.59	55	11	my_65371_TR6871-c0_g1_i1_aln.fna
0	6	4	my_139264_TR6890-c0_g1_i1_aln.fna
0.17	10	5	my_22225_TR17115-c1_g1_i1_aln.fna
0	10	5	my_255481_TR2672-c0_g1_i1_aln.fna
0.65	6	4	my_104902_TR22964-c0_g1_i3_aln.fna
0.08	6	4	my_137056_TR4205-c0_g1_i1_aln.fna
0.07	105	15	my_14418_TR8610-c0_g1_i1_aln.fna
0.03	15	6	my_68842_TR6476-c0_g1_i1_aln.fna
0	21	7	my_63384_TR1960-c0_g1_i1_aln.fna
0.08	10	5	my_23991_TR34269-c1_g1_i2_aln.fna
0	21	7	my_26538_TR417-c1_g3_i1_aln.fna
0	10	5	my_68837_TR5270-c0_g1_i1_aln.fna
0	6	4	my_32903_TR24895-c0_g1_i1_aln.fna
0.76	6	4	my_99824_TR7431-c0_g1_i1_aln.fna
0.25	120	16	my_18813_TR3550-c0_g1_i1_aln.fna
0.71	15	6	my_31429_TR21045-c0_g1_i1_aln.fna
0.19	55	11	my_24965_TR15039-c0_g1_i1_aln.fna
0	6	4	my_186107_TCONS_00019338_aln.fna
0	6	4	my_186177_TCONS_00047407_aln.fna
0	28	8	my_67945_TR22548-c0_g1_i1_aln.fna
0	10	5	my_135328_TR34188-c0_g1_i1_aln.fna
1.07	21	7	my_25425_TR2384-c0_g1_i1_aln.fna
0	15	6	my_136444_TR613-c0_g1_i1_aln.fna
0.06	21	7	my_26097_TR29958-c1_g1_i1_aln.fna
0.75	6	4	my_99086_TR10698-c0_g1_i1_aln.fna
0.01	6	4	my_35066_TR18827-c0_g1_i1_aln.fna
0	6	4	my_138972_TR19319-c1_g1_i1_aln.fna
0.25	120	16	my_14251_TR22995-c0_g1_i1_aln.fna
0.01	120	16	my_12475_TR971-c0_g1_i1_aln.fna
0	10	5	my_132773_TR2371-c0_g1_i1_aln.fna
0	6	4	my_58098_TR5024-c0_g1_i1_aln.fna
0	28	8	my_26892_TR27600-c0_g1_i1_aln.fna
0	10	5	my_35711_TR17554-c0_g1_i1_aln.fna
0	10	5	my_32862_TR18591-c0_g1_i1_aln.fna
0.35	6	4	my_136204_TR5752-c0_g1_i1_aln.fna
0.05	36	9	my_11842_TR9461-c0_g2_i1_aln.fna
0.01	105	15	my_11607_TR25177-c0_g1_i1_aln.fna
0.45	10	5	my_104780_TR35707-c0_g1_i1_aln.fna
0.3	6	4	my_252927_TR34922-c1_g1_i1_aln.fna
0.96	6	4	my_58906_TR31172-c0_g1_i1_aln.fna
0.39	21	7	my_216262_TR14049-c0_g1_i1_aln.fna
0	10	5	my_60748_TR951-c0_g1_i1_aln.fna
0	6	4	my_33019_TR11460-c0_g1_i1_aln.fna
0.01	15	6	my_67987_TR28373-c0_g1_i1_aln.fna
0	21	7	my_71251_TR33037-c0_g1_i1_aln.fna
0.31	45	10	my_31635_TR6820-c0_g1_i1_aln.fna
0	45	10	my_32759_TR35009-c1_g1_i1_aln.fna
0	6	4	my_104074_TR35182-c0_g1_i1_aln.fna
0.15	15	6	my_31330_TR10649-c0_g1_i1_aln.fna
0	120	16	my_19361_TR2276-c0_g1_i1_aln.fna
0.03	120	16	my_10050_TR8685-c0_g2_i1_aln.fna
0.3	15	6	my_28571_TR9697-c0_g1_i1_aln.fna
0.3	10	5	my_136207_TR6072-c0_g1_i1_aln.fna
0.72	21	7	my_216326_TR20219-c0_g1_i1_aln.fna
0.48	15	6	my_135349_TR53-c0_g1_i1_aln.fna
0	6	4	my_494507_TR10839-c0_g2_i1_aln.fna
0	15	6	my_33131_TR32925-c0_g1_i1_aln.fna
0.73	6	4	my_105330_TR4-c0_g2_i1_aln.fna
0	36	9	my_55662_TR5041-c0_g1_i1_aln.fna
0.22	10	5	my_59276_TR14634-c0_g1_i1_aln.fna
0	120	16	my_6366_TR31184-c0_g1_i1_aln.fna
0	6	4	my_127436_TR21728-c1_g1_i1_aln.fna
0.11	36	9	my_94130_TR25028-c0_g1_i1_aln.fna
0.47	6	4	my_31741_TR17032-c0_g1_i7_aln.fna
1.04	21	7	my_14278_TR65-c0_g1_i1_aln.fna
1.04	15	6	my_50546_TR3478-c0_g1_i1_aln.fna
0.54	15	6	my_65240_TR27646-c0_g1_i1_aln.fna
0.38	15	6	my_212913_TR19663-c0_g1_i1_aln.fna
0	21	7	my_28736_TR33353-c0_g1_i1_aln.fna
0.4	10	5	my_33461_TR23073-c0_g1_i1_aln.fna
0.14	6	4	my_141512_TR3907-c0_g1_i1_aln.fna
0	10	5	my_101609_TR28526-c0_g2_i1_aln.fna
0	120	16	my_19483_TR26444-c0_g2_i1_aln.fna
0	6	4	my_100564_TR4716-c0_g1_i1_aln.fna
0	36	9	my_58406_TR11359-c4_g4_i1_aln.fna
0.26	6	4	my_46966_TR7748-c0_g1_i1_aln.fna
0	15	6	my_102337_TR5409-c0_g1_i1_aln.fna
0.83	6	4	my_33835_TR22736-c0_g1_i1_aln.fna
0	15	6	my_51089_TR16443-c0_g2_i3_aln.fna
0.38	15	6	my_249659_TR30386-c0_g2_i1_aln.fna
0.04	36	9	my_26227_TR19754-c0_g1_i1_aln.fna
0	10	5	my_140322_TR12003-c0_g1_i1_aln.fna
0.16	36	9	my_127975_TR13327-c0_g1_i1_aln.fna
0.14	10	5	my_66759_TR629-c0_g1_i1_aln.fna
0	15	6	my_24369_TR12900-c0_g1_i1_aln.fna
0.56	36	9	my_28738_TR33495-c0_g2_i1_aln.fna
0.63	6	4	my_64236_TR24163-c0_g1_i1_aln.fna
0	10	5	my_243838_TR6588-c0_g1_i1_aln.fna
0	28	8	my_16130_TR5694-c0_g1_i1_aln.fna
0	10	5	my_35769_TR24651-c0_g2_i1_aln.fna
0.13	21	7	my_27593_TR1178-c0_g1_i1_aln.fna
0	28	8	my_25173_TR20782-c0_g1_i1_aln.fna
0	21	7	my_63775_TR26772-c0_g1_i1_aln.fna
0	15	6	my_63388_TR2520-c0_g1_i1_aln.fna
0	10	5	my_68930_TR25415-c0_g1_i8_aln.fna
0.13	45	10	my_27028_TR13194-c0_g1_i1_aln.fna
0	10	5	my_101767_TR11484-c0_g2_i1_aln.fna
0.35	6	4	my_135286_TR28753-c0_g1_i1_aln.fna
0.77	10	5	my_61931_TR4593-c3_g1_i2_aln.fna
0	6	4	my_133601_TR1971-c1_g1_i4_aln.fna
0.4	120	16	my_17557_TR31868-c0_g1_i1_aln.fna
0	120	16	my_11414_TR6953-c1_g2_i1_aln.fna
0	120	16	my_22705_TR26200-c0_g1_i1_aln.fna
0	10	5	my_89142_TR28376-c0_g1_i1_aln.fna
0	6	4	my_71154_TR13370-c0_g1_i1_aln.fna
0	6	4	my_21520_TR36346-c2_g1_i3_aln.fna
0.81	6	4	my_35419_TR4834-c0_g1_i1_aln.fna
0	6	4	my_298793_TR22670-c0_g2_i1_aln.fna
0.12	6	4	my_28186_TR23054-c0_g2_i1_aln.fna
0	6	4	my_105800_TR9731-c1_g1_i1_aln.fna
0.05	120	16	my_13806_TR3342-c0_g2_i1_aln.fna
0	15	6	my_136335_TR21880-c0_g1_i1_aln.fna
1.16	36	9	my_65317_TR188-c0_g1_i1_aln.fna
0.21	10	5	my_31727_TR15519-c0_g1_i1_aln.fna
0.83	10	5	my_96112_TR19445-c1_g2_i1_aln.fna
0	10	5	my_67540_TR17098-c0_g1_i1_aln.fna
0.26	10	5	my_105799_TR9678-c0_g1_i1_aln.fna
0	15	6	my_11099_TR20084-c0_g1_i1_aln.fna
1.49	28	8	my_20857_TR13840-c0_g1_i1_aln.fna
0	120	16	my_15869_TR16012-c0_g1_i1_aln.fna
0	15	6	my_89653_TR10561-c0_g1_i1_aln.fna
0	6	4	my_29446_TR34675-c0_g1_i1_aln.fna
0.22	28	8	my_25700_TR27075-c0_g1_i1_aln.fna
0.19	21	7	my_25580_TR1814-c0_g1_i1_aln.fna
0.1	36	9	my_29471_TR1196-c0_g1_i1_aln.fna
0	6	4	my_33655_TR28296-c0_g1_i1_aln.fna
0.53	15	6	my_103345_TR10896-c0_g1_i1_aln.fna
0.4	15	6	my_24957_TR11948-c0_g1_i1_aln.fna
0.94	6	4	my_186041_TCONS_00036331_aln.fna
0	55	11	my_33335_TR33536-c0_g1_i1_aln.fna
0.43	6	4	my_133845_TR3101-c0_g2_i1_aln.fna
0	6	4	my_28816_TR9332-c0_g1_i1_aln.fna
0	15	6	my_57760_TR17936-c0_g1_i1_aln.fna
0.17	15	6	my_71204_TR23192-c0_g1_i1_aln.fna
0	6	4	my_29534_TR10962-c0_g2_i1_aln.fna
0	10	5	my_134667_TR17903-c0_g1_i1_aln.fna
0.74	21	7	my_30915_TR34044-c2_g1_i1_aln.fna
1.53	21	7	my_30389_TR6745-c0_g1_i1_aln.fna
0	6	4	my_68878_TR15630-c0_g1_i1_aln.fna
0	45	10	my_26366_TR7594-c2_g1_i1_aln.fna
0	6	4	my_98912_TR20925-c4_g1_i1_aln.fna
0	6	4	my_139427_TR2761-c0_g1_i14_aln.fna
0.74	6	4	my_284189_TR5772-c0_g1_i1_aln.fna
0.47	6	4	my_95740_TR10729-c1_g1_i1_aln.fna
0.01	36	9	my_102060_TR9515-c0_g1_i1_aln.fna
0	6	4	my_100935_TR17473-c0_g2_i1_aln.fna
0.25	28	8	my_27505_TR22560-c0_g1_i1_aln.fna
0	10	5	my_215275_TR1169-c0_g1_i1_aln.fna
0	15	6	my_28116_TR11965-c0_g1_i1_aln.fna
0	6	4	my_105709_TR28696-c0_g1_i1_aln.fna
0.28	28	8	my_139312_TR17096-c0_g1_i1_aln.fna
0	6	4	my_140775_TR26064-c0_g1_i1_aln.fna
0	6	4	my_70795_TR26411-c0_g1_i1_aln.fna
0.16	15	6	my_62991_TR9795-c0_g1_i1_aln.fna
0	6	4	my_292098_TR19379-c0_g1_i1_aln.fna
0	120	16	my_22151_TR34226-c0_g1_i1_aln.fna
0	15	6	my_29338_TR17652-c1_g1_i1_aln.fna
0	15	6	my_63443_TR10917-c0_g1_i1_aln.fna
0	66	12	my_32961_TR481-c0_g1_i1_aln.fna
0	6	4	my_105214_TR14352-c0_g1_i1_aln.fna
0	36	9	my_58655_TR4418-c0_g1_i1_aln.fna
0.3	15	6	my_33367_TR2241-c0_g1_i1_aln.fna
0	10	5	my_34332_TR1984-c0_g1_i1_aln.fna
0	15	6	my_66369_TR26734-c0_g1_i1_aln.fna
0	6	4	my_502986_TR17535-c0_g2_i1_aln.fna
0.87	6	4	my_65636_TR6032-c0_g1_i1_aln.fna
0	21	7	my_22632_TR2872-c0_g1_i1_aln.fna
0	28	8	my_92836_TR24759-c0_g1_i1_aln.fna
0	10	5	my_32348_TR16165-c0_g1_i1_aln.fna
0	10	5	my_61064_TR29221-c0_g1_i1_aln.fna
0.02	120	16	my_19237_TR23718-c0_g1_i1_aln.fna
0	10	5	my_69217_TR12152-c0_g1_i1_aln.fna
0	15	6	my_25444_TR6085-c0_g1_i1_aln.fna
0.95	10	5	my_35590_TR35917-c0_g1_i1_aln.fna
0.22	120	16	my_24352_TR9750-c0_g1_i1_aln.fna
0	55	11	my_66729_TR33855-c0_g1_i1_aln.fna
0	120	16	my_9427_TR17659-c0_g1_i1_aln.fna
0.39	45	10	my_25438_TR4494-c0_g1_i1_aln.fna
0.06	28	8	my_53458_TR34934-c0_g1_i1_aln.fna
0	120	16	my_26063_TR24569-c0_g1_i1_aln.fna
0.01	120	16	my_15332_TR34354-c1_g2_i1_aln.fna
0	10	5	my_32647_TR16662-c0_g1_i1_aln.fna
0	15	6	my_61658_TR31269-c0_g1_i1_aln.fna
0.27	21	7	my_138950_TR16084-c0_g1_i1_aln.fna
0	6	4	my_95938_TR23732-c0_g1_i1_aln.fna
0.13	10	5	my_132228_TR18686-c0_g1_i1_aln.fna
0.02	78	13	my_85530_TR5484-c0_g1_i1_aln.fna
0	6	4	my_23080_TR15763-c2_g1_i1_aln.fna
0.14	21	7	my_27983_TR25829-c0_g1_i1_aln.fna
0	6	4	my_139848_TR2252-c0_g1_i1_aln.fna
0.53	6	4	my_140305_TR8363-c0_g1_i1_aln.fna
0	21	7	my_32982_TR4734-c1_g2_i1_aln.fna
0	6	4	my_29945_TR28973-c0_g1_i1_aln.fna
0.34	36	9	my_35168_TR35267-c0_g1_i1_aln.fna
0	6	4	my_219005_TR10374-c0_g1_i1_aln.fna
0	10	5	my_57055_TR11771-c0_g1_i1_aln.fna
0.55	10	5	my_28445_TR25082-c0_g2_i1_aln.fna
0.55	78	13	my_30943_TR1441-c0_g1_i1_aln.fna
0	6	4	my_281009_TR23535-c0_g1_i1_aln.fna
0.51	10	5	my_133482_TR17407-c0_g1_i1_aln.fna
0	6	4	my_126840_TR29030-c0_g1_i1_aln.fna
1.38	6	4	my_214591_TR16472-c0_g1_i2_aln.fna
0.67	6	4	my_129043_TR34849-c0_g1_i1_aln.fna
0	10	5	my_65048_TR1943-c0_g1_i1_aln.fna
0	28	8	my_33278_TR23918-c0_g1_i1_aln.fna
0	6	4	my_61753_TR11189-c0_g1_i1_aln.fna
0	66	12	my_26365_TR7271-c0_g1_i1_aln.fna
1.27	28	8	my_99061_TR6672-c0_g1_i1_aln.fna
0.33	6	4	my_104444_TR7802-c0_g1_i1_aln.fna
0.15	6	4	my_118985_TR1105-c0_g1_i1_aln.fna
0	6	4	my_101315_TR30565-c0_g1_i1_aln.fna
0.1	28	8	my_2537_TR3194-c0_g2_i1_aln.fna
0.07	6	4	my_54175_TR1027-c0_g1_i1_aln.fna
0.2	15	6	my_35591_TR36168-c0_g1_i1_aln.fna
0	10	5	my_136026_TR16484-c0_g2_i1_aln.fna
0	28	8	my_24972_TR16377-c0_g1_i1_aln.fna
0	120	16	my_11745_TR144-c0_g1_i1_aln.fna
0.39	6	4	my_61011_TR18946-c0_g1_i1_aln.fna
0	6	4	my_27617_TR5351-c2_g1_i1_aln.fna
0	36	9	my_24104_TR29215-c0_g1_i1_aln.fna
0.68	28	8	my_23514_TR19824-c0_g1_i1_aln.fna
0.25	21	7	my_164027_TCONS_00031507_aln.fna
0.29	6	4	my_249207_TR24797-c0_g1_i1_aln.fna
0.07	36	9	my_64041_TR30115-c0_g1_i1_aln.fna
0.84	36	9	my_28324_TR6893-c0_g1_i1_aln.fna
0	6	4	my_58600_TR25552-c0_g2_i1_aln.fna
1.75	6	4	my_30891_TR31349-c0_g1_i1_aln.fna
0.34	6	4	my_67890_TR16145-c0_g1_i1_aln.fna
0	55	11	my_25015_TR25287-c0_g1_i1_aln.fna
0	55	11	my_35993_TR32630-c0_g1_i1_aln.fna
0	45	10	my_18965_TR6663-c0_g1_i1_aln.fna
0	120	16	my_31297_TR7505-c0_g1_i1_aln.fna
0	21	7	my_67545_TR17350-c0_g1_i1_aln.fna
0.04	120	16	my_14639_TR34233-c0_g1_i1_aln.fna
0.36	6	4	my_34623_TR17863-c0_g1_i1_aln.fna
0	15	6	my_99367_TR18888-c2_g1_i1_aln.fna
0	6	4	my_23543_TR29116-c0_g1_i1_aln.fna
